processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
2,8,36.860915,0.194601,0.036877,34.946224,0.683430
4,8,37.016426,0.195771,0.035035,35.106124,0.676063
6,8,37.509631,0.225247,0.035825,35.575513,0.698670
8,8,35.872402,0.204582,0.032027,34.047891,0.663267
1,16,35.137200,0.147226,0.038748,33.452100,0.592956
2,16,53.349077,0.185626,0.035148,51.371382,0.624175
4,16,35.705750,0.190923,0.033078,33.873711,0.594813
6,16,35.364076,0.203490,0.034077,33.603028,0.585226
8,16,35.541057,0.200505,0.031616,33.779584,0.590494
1,1,36.054306,0.145662,0.038964,33.438707,1.508133
2,1,35.977254,0.166327,0.035044,33.371478,1.486056
4,1,36.281827,0.187980,0.033328,33.649134,1.484814
6,1,35.769855,0.197490,0.035430,33.146595,1.473616
8,1,36.417694,0.207236,0.032151,33.784804,1.469313
1,4,35.411167,0.153539,0.038574,33.497412,0.795754
2,4,35.752960,0.177659,0.035898,33.817587,0.803062
4,4,35.581389,0.191116,0.033783,33.631935,0.793709
6,4,35.942310,0.206488,0.034374,33.988905,0.791861
8,4,35.722973,0.209230,0.032699,33.738609,0.823688
1,8,35.719698,0.159836,0.038691,33.928169,0.661292
2,8,35.514350,0.173928,0.034335,33.721650,0.657207
4,8,35.312242,0.196496,0.033860,33.520264,0.649854
6,8,35.419014,0.210705,0.034913,33.618934,0.647162
8,8,35.674732,0.235517,0.032617,33.832666,0.650259
1,16,35.447341,0.155659,0.039933,33.673338,0.641000
2,16,35.413359,0.173025,0.037030,33.703683,0.577779
4,16,35.709564,0.210183,0.036367,33.907410,0.577314
6,16,35.223714,0.209211,0.034373,33.474032,0.591699
8,16,35.728991,0.231854,0.032234,33.969807,0.567812
1,1,36.580926,0.156243,0.037490,33.947734,1.504293
2,1,36.499152,0.192455,0.039537,33.591071,1.607597
4,1,37.033266,0.205396,0.033723,34.362585,1.505048
6,1,39.026198,0.273270,0.042749,35.954326,1.609046
8,1,39.741682,0.410835,0.036502,36.409990,1.776593
1,4,36.741436,0.185559,0.039196,34.582132,0.853071
2,4,36.981486,0.192827,0.044107,34.756699,0.949922
4,4,38.388965,0.230147,0.036002,36.197568,0.906570
6,4,37.551435,0.233459,0.040583,35.426951,0.832451
8,4,37.192500,0.222152,0.033336,35.097551,0.827369
1,8,37.232344,0.163540,0.039177,35.345555,0.670397
2,8,36.919381,0.232091,0.038358,34.914164,0.661889
4,8,37.456149,0.219029,0.036924,35.498219,0.702301
6,8,36.617286,0.200764,0.034707,34.827710,0.612707
8,8,36.973668,0.213960,0.039078,35.048429,0.659245
1,16,36.694911,0.151795,0.039911,34.918775,0.603986
2,16,36.793775,0.190160,0.036853,34.889775,0.614845
4,16,36.929433,0.191596,0.033676,35.050659,0.590614
6,16,35.817920,0.253313,0.035715,33.994634,0.594908
8,16,35.488591,0.214045,0.031421,33.695799,0.600083
