processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
6,16,35.468491,0.190648,0.000003,33.759019,0.604644
8,16,35.376447,0.197421,0.000003,33.684315,0.584451
1,1,36.095546,0.172469,0.000001,33.514435,1.484867
2,1,36.202585,0.171847,0.000004,33.605058,1.485342
4,1,38.690246,0.195697,0.000003,36.057337,1.496491
6,1,37.202388,0.203056,0.000001,34.327571,1.634878
8,1,39.218896,0.224953,0.000004,36.307347,1.594277
1,4,36.292631,0.200789,0.000005,34.280911,0.831411
2,4,36.773980,0.178499,0.000001,34.825388,0.805973
4,4,37.578126,0.213098,0.000003,35.387112,0.904971
6,4,39.155903,0.232639,0.000003,37.032075,0.866341
8,4,37.067489,0.219783,0.000001,34.972783,0.874206
1,8,37.038367,0.180483,0.000002,35.179040,0.668169
2,8,37.238138,0.231150,0.000001,35.303914,0.686635
4,8,38.052436,0.239388,0.000001,36.017748,0.732728
6,8,38.259233,0.200155,0.000003,36.324664,0.717544
8,8,37.033967,0.206077,0.000001,35.066536,0.682617
1,16,36.796484,0.149863,0.000001,35.049945,0.605674
2,16,37.049579,0.176778,0.000001,35.201136,0.603770
4,16,36.759024,0.188378,0.000001,34.902556,0.670818
6,16,45.091807,0.246710,0.000001,42.953714,0.603123
8,16,35.463868,0.220734,0.000001,33.695073,0.591718
